país,codigo_pais,factor_(serie),codigo_serie,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dinamarca,DNK,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,4.7547,3.9446,4.9653,2.6024,2.6595,1.6559,0.5799,1.5655,1.2824,2.0142,2.0139,1.2321,1.6848,3.018,2.5184,2.3476,1.4818,2.0957,2.9064,2.0762,2.4323,4.1347,0.529,3.2241,0.6386,2.3752,0.8882,1.0321,0.4331,0.2546,1.1847,0.7479,1.0488,2.6076,2.7666,7.6208
Dinamarca,DNK,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.02,4.5351,4.7727,2.6416,2.3952,2.096,1.2579,1.992,2.0836,2.1263,2.1822,1.8457,2.4978,2.9033,2.3379,2.4244,2.0751,1.1544,1.8178,1.9242,1.6933,3.4163,1.3047,2.3109,2.7587,2.3979,0.7891,0.564,0.452,0.25,1.1471,0.8136,0.7581,0.4207,1.853,7.6966
Ecuador,ECU,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,-8.701,-11.6138,5.368,5.8136,6.8893,4.3032,2.6418,15.0087,5.2226,1.4902,7.0062,-3.7827,-26.3,-7.7141,28.4143,12.0853,10.5931,4.2618,7.7327,8.0009,6.6505,13.8473,0.6555,7.4651,5.6627,4.9853,3.095,3.0307,-2.491,1.9016,1.9464,1.8189,0.4955,-0.3991,2.5793,5.2648
Ecuador,ECU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,29.504,58.2163,75.6482,48.5191,48.7181,54.6078,44.9551,27.3109,22.9341,24.4115,30.6576,36.0984,52.242,96.0964,37.6767,12.4836,7.9294,2.7432,2.1683,3.2987,2.2762,8.4001,5.16,3.5544,4.4745,5.1017,2.7218,3.5892,3.9666,1.7283,0.4173,-0.2241,0.266,-0.3389,0.1333,3.4662
Emiratos Árabes Unidos,ARE,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,3.6856,2.381,1.7513,3.3359,0.8108,1.8068,1.278,-0.2625,3.9075,5.773,-0.9523,-4.2544,8.4434,11.4595,-2.3493,3.7708,4.0724,8.5014,16.5263,11.9621,12.534,18.5334,-15.183,12.4902,13.1672,4.6797,-0.9493,-0.668,-16.267,-5.5295,4.9862,7.9367,-3.1944,-12.0313,14.2808,13.8534
Emiratos Árabes Unidos,ARE,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,12.2504,1.5618,0.878,0.8773,0.6623,1.1011,2.3463,4.07,1.6175,1.9668,3.0686,-1.9311,-2.0794,-0.0139,4.8279
"Egipto, República Árabe de",EGY,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,12.4694,13.4176,19.1374,17.7431,16.1253,18.3508,8.4291,8.4489,11.3997,7.1077,9.8763,2.3777,0.9194,3.9444,1.8677,3.1656,6.7775,11.6699,6.2127,7.36,12.5957,12.204,11.1855,10.1069,11.663,19.4829,8.7127,11.2476,9.9309,6.2457,29.5185,21.1748,13.6181,6.1769,4.8472,10.4258
"Egipto, República Árabe de",EGY,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,19.6936,17.6635,21.2619,16.7564,19.7485,13.6374,12.0898,8.1542,15.7422,7.1871,4.6256,3.8726,3.0795,2.6838,2.2698,2.7372,4.5078,11.2706,4.8694,7.6445,9.319,18.3168,11.7635,11.2652,10.0649,7.1117,9.4697,10.0702,10.3705,13.8136,29.5066,14.4015,9.1528,5.0449,5.214,13.8957
Cuba,CUB,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,0.6105,1.2332,0.6248,5.2613,-7.3878,3.7457,18.9755,26.282,10.5087,-2.6716,-1.3526,1.2991,3.7891,1.7412,0.4549,4.5332,2.9735,0.606,0.3801,10.3656,3.5898,-0.3445,0.6342,1.202,4.3238,2.9141,2.6578,3.4632,3.4396,4.3267,4.1152,1.0313,3.547,16.5548,401.5883,
Cuba,CUB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,10.1444,18.8393,15.2483,18.5479,64.7747,19.7289,10.4356,15.6705,21.2362,15.0751,14.6799,11.9382,11.0295,9.3897,9.7209,9.7869,10.6482,13.3503,13.0133,12.9843,10.5168,11.4238,9.7013,6.6288,4.5932,4.7336,4.5902,6.2069,3.9552,1.9588,2.8589,2.1925,2.5668,0.7726,1.978,5.7646
Costa Rica,CRI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,16.8424,20.8325,16.5098,19.0398,28.7093,21.7912,9.7786,13.5345,23.1865,17.5115,13.248,11.6593,10.0453,10.9615,11.2556,9.1675,9.4476,12.3148,13.7983,11.4706,9.3572,13.4245,7.8427,5.6628,4.878,4.4955,5.2313,4.5192,0.802,-0.0175,1.6259,2.2211,2.096,0.7249,1.7265,8.2748
Estados Unidos,USA,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,2.4728,3.5274,3.9203,3.7433,3.3818,2.2789,2.3703,2.1354,2.0969,1.831,1.7244,1.1255,1.4092,2.2655,2.253,1.5585,1.9736,2.6844,3.1358,3.0856,2.7025,1.9179,0.641,1.2018,2.0777,1.8706,1.7509,1.8699,1.0005,1.0022,1.8996,2.4041,1.7939,1.3049,4.4928,7.0053
Estados Unidos,USA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.6646,4.0777,4.827,5.398,4.235,3.0288,2.9517,2.6074,2.8054,2.9312,2.3377,1.5523,2.188,3.3769,2.8262,1.586,2.2701,2.6772,3.3927,3.2259,2.8527,3.8391,-0.3555,1.64,3.1568,2.0693,1.4648,1.6222,0.1186,1.2616,2.1301,2.4426,1.8122,1.2336,4.6979,8.0028
España,ESP,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,5.9442,5.9361,6.8962,7.3263,6.9351,6.7108,4.5372,3.8798,4.9331,3.4601,2.356,2.5666,2.5411,3.3298,4.1082,4.0847,3.9335,3.8822,4.101,3.9796,3.4164,2.2543,0.1438,0.1535,-0.0197,-0.1146,0.3977,-0.2237,0.5453,0.3221,1.2992,1.2456,1.4474,1.2256,2.301,4.2803
