Pais,Continente,GDP per capita (current US$),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),ratio_population ages 65 and above,ratio_urban population,Urban population growth (annual %)
New Zealand,Oceania,45207.91934915224,3.4630669794040982,3.20916720157633,81.45548989547038,1.250193098463416,0.1562448348503192,0.8670499683101875,1.3466471587122444
Niger,Africa,561.3549269740583,0.22773834524501577,2.288018143433546,60.17590285714285,3.7401107425534903,0.024233542235387866,0.16642600069525487,4.394726423277138
Norway,Europa,84873.52388253833,9.76262851834204,3.093430003322292,82.359781184669,0.6714154088046472,0.1774947053027688,0.8296500289956661,1.1046975517911855
Russian Federation,Asia,12191.26171875,9.790916448722603,15.717305309184145,70.92689198606271,-0.13067151704614158,0.15228954616933452,0.7476679997088519,0.0925970955356121
Rwanda,Africa,827.2936012626345,5.457249639226471,6.036985644648491,63.921794285714284,2.381178923810774,0.031020597399683915,0.17448998676031297,3.06539736554692
Samoa,Oceania,4028.1277502434,1.960435613719726,3.5411919879091984,72.21626857142857,1.3727794865462575,0.050244308444691986,0.17909303935225102,0.44551250403552534
Saudi Arabia,Asia,24515.26091376432,7.22874570154696,1.8695260229956219,76.24262285714286,1.2557308050267626,0.024780959273527244,0.8428660020319138,1.5187567681580416
Sierra Leone,Africa,497.1343109157184,12.159753520817741,0.0,57.91272571428571,2.282488528970262,0.031423617316543744,0.42932998245278825,3.310009978332814
Singapore,Asia,70939.74693658223,3.6945349395176095,1.8495767302718988,82.83062020905925,0.08807337371450963,0.13171212098107538,1.0,0.08807337371451203
South Africa,Africa,6662.091872260402,5.069952144629189,4.699769172629508,64.03949714285714,1.116752372043992,0.05933963837823568,0.6734939974012539,1.8576053306202263
Spain,Europa,29274.91947106846,2.0999421675661822,2.7070917613494756,82.58896167247389,0.433863426495069,0.19723454742855148,0.8081119966700717,0.7372451257451919
Switzerland,Europa,87817.59336959195,0.8519011672138959,0.7980377731350508,83.04316376306622,0.7384620861377875,0.18784018379767495,0.7392980204767836,0.8280112175219754
United Arab Emirates,Asia,45560.20623222986,4.169055628997645,0.0,78.56119428571428,0.8058239218560758,0.015864096842014223,0.8704020033019335,1.103889496610544
United Kingdom,Europa,43761.62587493056,3.0423428143334568,3.092170227143628,80.47812543554008,0.27439358397544894,0.18732266795607372,0.8390059995684528,0.5740272281077148
United States,América del Norte,67618.0805200267,3.4001937912366644,3.6378072905306524,77.56197909407668,0.4960952335860792,0.1624398290346202,0.826672000121946,0.7446118265712104
Venezuela,Sudamérica,6084.479996093274,35.0631193204545,0.0,71.59522857142858,-1.5376512438874328,0.07955256033643479,0.8828600035583205,-1.4934736813886684
