Pais,Año,Indicador,Valor,Indicador_name
BFA,2004,FP.CPI.TOTL.ZG,-0.400228702115475,"Inflation, consumer prices (annual %)"
BFA,2005,FP.CPI.TOTL.ZG,6.41504018369687,"Inflation, consumer prices (annual %)"
BFA,2006,FP.CPI.TOTL.ZG,2.33310856372217,"Inflation, consumer prices (annual %)"
BFA,2007,FP.CPI.TOTL.ZG,-0.230627306273007,"Inflation, consumer prices (annual %)"
BFA,2008,FP.CPI.TOTL.ZG,10.6597978997424,"Inflation, consumer prices (annual %)"
BFA,2009,FP.CPI.TOTL.ZG,2.60817666368317,"Inflation, consumer prices (annual %)"
BFA,2010,FP.CPI.TOTL.ZG,-0.764230734676734,"Inflation, consumer prices (annual %)"
BFA,2011,FP.CPI.TOTL.ZG,2.7597672485453,"Inflation, consumer prices (annual %)"
BFA,2012,FP.CPI.TOTL.ZG,3.81815240252386,"Inflation, consumer prices (annual %)"
BFA,2013,FP.CPI.TOTL.ZG,0.533738507090537,"Inflation, consumer prices (annual %)"
BFA,2014,FP.CPI.TOTL.ZG,-0.258089517535353,"Inflation, consumer prices (annual %)"
BFA,2015,FP.CPI.TOTL.ZG,0.724838981070599,"Inflation, consumer prices (annual %)"
BFA,2016,FP.CPI.TOTL.ZG,0.441041448058759,"Inflation, consumer prices (annual %)"
BFA,2017,FP.CPI.TOTL.ZG,1.48299897161327,"Inflation, consumer prices (annual %)"
BFA,2018,FP.CPI.TOTL.ZG,1.95594302672532,"Inflation, consumer prices (annual %)"
BFA,2019,FP.CPI.TOTL.ZG,-3.23338933983321,"Inflation, consumer prices (annual %)"
BFA,2020,FP.CPI.TOTL.ZG,1.88443993781985,"Inflation, consumer prices (annual %)"
BFA,2021,FP.CPI.TOTL.ZG,3.65353287214207,"Inflation, consumer prices (annual %)"
BFA,2022,FP.CPI.TOTL.ZG,14.2902354303358,"Inflation, consumer prices (annual %)"
BRA,1987,FP.CPI.TOTL.ZG,228.336162575513,"Inflation, consumer prices (annual %)"
BRA,1988,FP.CPI.TOTL.ZG,629.114509120897,"Inflation, consumer prices (annual %)"
BRA,1989,FP.CPI.TOTL.ZG,1430.7237251472,"Inflation, consumer prices (annual %)"
BRA,1990,FP.CPI.TOTL.ZG,2947.73277248299,"Inflation, consumer prices (annual %)"
BRA,1991,FP.CPI.TOTL.ZG,432.786661926461,"Inflation, consumer prices (annual %)"
BRA,1992,FP.CPI.TOTL.ZG,951.962053052818,"Inflation, consumer prices (annual %)"
BRA,1993,FP.CPI.TOTL.ZG,1927.38079016026,"Inflation, consumer prices (annual %)"
BRA,1994,FP.CPI.TOTL.ZG,2075.88839757325,"Inflation, consumer prices (annual %)"
BRA,1995,FP.CPI.TOTL.ZG,66.0070335542481,"Inflation, consumer prices (annual %)"
BRA,1996,FP.CPI.TOTL.ZG,15.7576656002606,"Inflation, consumer prices (annual %)"
BRA,1997,FP.CPI.TOTL.ZG,6.92671251629151,"Inflation, consumer prices (annual %)"
BRA,1998,FP.CPI.TOTL.ZG,3.19507629280056,"Inflation, consumer prices (annual %)"
BRA,1999,FP.CPI.TOTL.ZG,4.85844749902668,"Inflation, consumer prices (annual %)"
BRA,2000,FP.CPI.TOTL.ZG,7.04414105947266,"Inflation, consumer prices (annual %)"
BRA,2001,FP.CPI.TOTL.ZG,6.84035902487525,"Inflation, consumer prices (annual %)"
BRA,2002,FP.CPI.TOTL.ZG,8.4501643770833,"Inflation, consumer prices (annual %)"
BRA,2003,FP.CPI.TOTL.ZG,14.7149197228147,"Inflation, consumer prices (annual %)"
BRA,2004,FP.CPI.TOTL.ZG,6.59718509985962,"Inflation, consumer prices (annual %)"
BRA,2005,FP.CPI.TOTL.ZG,6.86953720898965,"Inflation, consumer prices (annual %)"
BRA,2006,FP.CPI.TOTL.ZG,4.18356812896902,"Inflation, consumer prices (annual %)"
BRA,2007,FP.CPI.TOTL.ZG,3.64127299102654,"Inflation, consumer prices (annual %)"
BRA,2008,FP.CPI.TOTL.ZG,5.67859390284171,"Inflation, consumer prices (annual %)"
BRA,2009,FP.CPI.TOTL.ZG,4.88803479876804,"Inflation, consumer prices (annual %)"
