Pais,Año,Continente,GDP per capita (current US$),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),ratio_population ages 65 and above,ratio_urban population,Urban population growth (annual %),Cluster
Cambodia,2021,Asia,1625.2350215138,1.29194500388832,2.9207347759295,69.584,1.16513584860257,0.055321883633532846,0.24667998832722096,2.94841235644415,4
Canada,2017,América del Norte,45129.4292980922,2.5649968397985,1.5968841285297,81.8329268292683,1.19952071057872,0.1677768888946291,0.813499986701413,1.26100055193218,2
Canada,2018,América del Norte,46547.7951820036,1.61741439035406,2.268225672481,81.8439024390244,1.41245586917998,0.17158115708034008,0.8141100125390246,1.48741557899505,2
Canada,2019,América del Norte,46374.1527517191,1.56621123239672,1.94926902411596,82.2287804878049,1.43613682316886,0.17560662244293604,0.8148199939204116,1.52330833127913,2
Canada,2020,América del Norte,43349.677855557,0.615457490563671,0.716999632307852,81.6704878048781,1.0737958268224,0.18018425788442105,0.8156200070270959,1.17193046169682,2
Canada,2021,América del Norte,52358.6216405155,8.15333924257004,3.39519318527532,82.5966097560976,0.575421916470359,0.18521283325508917,0.8165299892237055,0.686929105514026,2
Chad,2017,Africa,662.89747343383,0.0282519135155042,-1.53709962980847,52.308,3.32459491646661,0.020271400734620523,0.22857997582375683,4.11956629350938,0
Chad,2018,Africa,720.265100910693,5.01465777807508,4.27462198610544,52.825,3.37812774879537,0.020297791429364255,0.23059001384882669,4.25364266040628,0
Chad,2019,Africa,701.621200811434,2.85603411987745,-0.971939175419353,53.259,3.29458272753979,0.02034970712846501,0.2327899915581862,4.24412488015106,0
Chad,2020,Africa,643.772216240999,-5.45489640763718,4.46414437232863,52.777,3.16053305963688,0.020326348908280178,0.2352000195137179,4.19049062427543,0
Chad,2021,Africa,685.690314996613,7.1999883084863,-0.772844370359128,52.525,3.16388750517031,0.020203274321962963,0.23781000178116782,4.26746190677989,0
China,2017,Asia,8817.04549566316,4.23268197526643,1.59313600071434,77.248,0.605245013482969,0.10946355683043084,0.5796,2.739663820353,1
China,2018,Asia,9905.4061175104,3.4997476356901,2.07479039965578,77.744,0.467672053461959,0.1148005332344806,0.591519999857424,2.50340050353808,1
China,2019,Asia,10143.8602060373,1.28670040757089,2.89923416358227,77.968,0.354740890170827,0.12022115795119144,0.6030800002841423,2.29017723362897,1
China,2020,Asia,10408.7191247747,0.492493696910714,2.4194218945778,78.077,0.238040870229883,0.12598261923322232,0.61428,2.07814005779212,1
China,2021,Asia,12617.5049863004,4.55328427986601,0.981015135544851,78.211,0.0892522000412526,0.13149753249879634,0.6251199998583931,1.83853028231533,1
Colombia,2017,Sudamérica,6449.97098726073,5.13373589963346,4.31431325695007,76.646,1.51228960592288,0.076715673383863,0.8044599947745342,1.93333180225659,1
Colombia,2018,Sudamérica,6782.0379203319,4.63057967327826,3.24056932930567,76.748,1.89558675057496,0.0793059052484994,0.8077800089985258,2.30743844872299,1
Colombia,2019,Sudamérica,6436.50921529531,4.00262054293638,3.52301932741443,76.752,1.83074694246543,0.0820401835472429,0.8110400047374435,2.23350946308688,1
Colombia,2020,Sudamérica,5304.28912886637,1.48021450852424,2.52663500084712,74.769,1.47010203160178,0.08472310844889469,0.8142500091595118,1.86510951561423,1
Colombia,2021,Sudamérica,6182.70709867969,7.66762201531684,3.49505757399453,72.83,1.14382091580962,0.08719706489730429,0.8174000042937648,1.52993301358678,1
Costa Rica,2017,América del Norte,12118.1336180615,2.8588837280198,1.62590692991729,79.377,0.978713315995535,0.09272660208312558,0.7855999448921291,2.03441484263971,1
Costa Rica,2018,América del Norte,12383.1499469519,2.19247842793764,2.22111461526584,79.484,0.934615300864476,0.09572355930703742,0.7933999294547183,1.92258852809582,1
Costa Rica,2019,América del Norte,12669.3411617396,2.56679211746589,2.09604635327805,79.427,0.865128346659953,0.09885491919413625,0.8007600306183539,1.7885179241658,1
Costa Rica,2020,América del Norte,12179.2566742377,0.772593247062218,0.724911478131358,79.277,0.755771068349343,0.10218334389008228,0.8077099727606598,1.61994452252788,1
Costa Rica,2021,América del Norte,12537.2567461753,1.97803512335035,1.72647755109235,77.023,0.600406861056438,0.10530277998050817,0.8142499054609885,1.406834717935,1
Cuba,2017,América del Norte,8543.36096849045,4.11518630041306,0.0,77.529,-0.0494478967755684,0.14686666540230348,0.7697699579364005,0.0116205551936975,3
Cuba,2018,América del Norte,8831.90722233737,1.03134192884301,0.0,77.496,-0.0720152370566522,0.14988598409426915,0.7703699708445545,0.0059014414603091,3
Cuba,2019,América del Norte,9139.41585605765,3.54699869857453,0.0,77.611,-0.101983052203958,0.15286350778853583,0.7710900097440092,-0.0085600686828805,3
Cuba,2020,América del Norte,9499.59020230432,16.5547556871819,0.0,77.567,-0.141475202325743,0.15551809277621612,0.7719400164485415,-0.0313014822965019,3
Cuba,2021,América del Norte,4511.120602520508,401.588278054162,0.0,73.683,-0.393012541562472,0.15670342096014594,0.7729199958921045,-0.266142848880682,3
Denmark,2017,Europa,57610.0981801135,1.18466161152733,1.14713216957606,81.1024390243903,0.643350903737356,0.1930034449382305,0.8775699135122759,0.7744611852936,2
Denmark,2018,Europa,61591.9288698958,0.747856838144173,0.813609467455633,80.9536585365854,0.495838925879129,0.1955499102808668,0.8787400520156945,0.629088602704045,2
Denmark,2019,Europa,59592.9806886454,1.04879424424314,0.758131572511619,81.4512195121951,0.358130915892652,0.1980257022968061,0.8799399149218959,0.494581334948344,2
Denmark,2020,Europa,60915.4243995462,2.60762107978847,0.420711974110026,81.6024390243903,0.291641177476633,0.20046921804766057,0.8811600088074845,0.430201637829091,2
Denmark,2021,Europa,68007.7566732954,2.76660819348507,1.85304543989687,81.4048780487805,0.433414489409722,0.2026872319431328,0.8823999659878639,0.574034304150868,2
Ecuador,2017,Sudamérica,6246.40425217932,1.94639824444045,0.417335588666803,76.972,1.55335626648726,0.07044414834235535,0.6366999853386345,1.76718316617636,1
Ecuador,2018,Sudamérica,6321.34940071717,1.81887357109554,-0.224103246005465,77.094,1.89090930713133,0.07224833670982844,0.6382099984061752,2.12779093687571,1
Ecuador,2019,Sudamérica,6233.25816692363,0.495450027557041,0.266012515466136,77.297,1.90968326333656,0.07409860848928777,0.6398599725318761,2.16788118361711,1
Ecuador,2020,Sudamérica,5645.19928965332,-0.399099295795224,-0.338872392562274,72.153,1.40190462603926,0.07544155744105768,0.6416600075219198,1.68282668762884,1
Ecuador,2021,Sudamérica,5965.13287054416,2.57933093464713,0.133251386096455,73.67,1.18206337539033,0.07642072697219877,0.6436100274995635,1.48550489674713,1
Egypt,2017,Africa,2439.96728439968,29.5184798346032,29.5066083940039,71.302,1.98976849465685,0.044658782006996287,0.4270499971382085,1.92656265146592,4
Egypt,2018,Africa,2531.20007864537,21.1748208164537,14.4014657807421,71.367,1.89893076814734,0.04542725321140634,0.4270399972469839,1.89658912000937,4
Egypt,2019,Africa,3017.25833578941,13.6180959109963,9.15279959324812,71.358,1.79400212546566,0.046276448602539225,0.42729999887993286,1.85486820738962,4
Egypt,2020,Africa,3571.5569065135,6.17693409847959,5.04493288977533,70.99,1.73312957205986,0.04708709524337447,0.427829997401762,1.85708700356092,4
Egypt,2021,Africa,3886.7224983901,4.84715643244111,5.21404940513043,70.221,1.65838367949689,0.04774545131253012,0.4286200024312164,1.84286736299705,4
Fiji,2017,Oceania,5825.19881260364,1.69845757051993,3.34757834757835,67.79,0.0705348376627642,0.04993476739871537,0.5574204668238633,0.984371515788986,1
Fiji,2018,Oceania,6073.39519537246,1.42571800764148,4.08147637644538,67.81,-0.0025026999236921,0.051570409446831104,0.5624801413716708,0.901096947630469,1
Fiji,2019,Oceania,5968.31955666383,2.24346808710931,1.7731018246027,67.893,-0.0577971466911964,0.053429363122165785,0.5675001224869756,0.830716449747723,1
Fiji,2020,Oceania,4864.10600771307,-1.21609609618226,-2.5952432588737,67.924,0.212846220439299,0.055393069700637315,0.5724700191868513,1.0847862837335,1
Fiji,2021,Oceania,4646.53792141919,-3.44657794910522,0.155855722131493,67.114,0.45397664568484,0.057184110057213314,0.577400201165897,1.31150162606102,1
Finland,2017,Europa,46412.1364777173,0.819262897258781,0.754015047084413,81.6317073170732,0.234670531705453,0.21143931590166976,0.8532500734357815,0.293287960802983,2
Finland,2018,Europa,49987.6261584959,2.00183627649704,1.08382098409299,81.7341463414634,0.132641040791912,0.21613282507104944,0.8538200805906963,0.199422968266274,2
Finland,2019,Europa,48629.8582283024,1.49655419230197,1.02409392963429,81.9829268292683,0.110191690491055,0.2205979564641157,0.8544599161910502,0.185101615266816,2
Finland,2020,Europa,49169.719338849,1.63467899810999,0.290554555653313,81.9317073170732,0.143641197212847,0.22490086432097553,0.8551699480409141,0.226703842004207,2
Finland,2021,Europa,53489.7520190898,2.16242780728525,2.19457432339993,81.9341463414634,0.207288594407348,0.22891501686423268,0.8559600160042823,0.299633189629648,2
Germany,2017,Europa,44652.5891722723,1.50373898915133,1.50949485109622,80.9926829268293,0.373724559895838,0.21310596288019254,0.772609996186409,0.421625391544917,2
Germany,2018,Europa,47939.2782884496,2.00749244131613,1.73216879766946,80.8926829268293,0.300526701992065,0.21499125356540272,0.7731199978307907,0.366515155973305,2
Germany,2019,Europa,46793.6867615995,2.12438467511859,1.44565976888251,81.2926829268293,0.22551987421288,0.2173029046671847,0.7737599966649402,0.30826693577482,2
Germany,2020,Europa,46772.8253507537,1.8108102219645,0.144877925813972,81.0414634146342,0.0816931586494595,0.2196373460302021,0.7745299950020966,0.181157523178267,2
Germany,2021,Europa,51203.5544731043,3.05760069776311,3.06666666666666,80.9009756097561,0.0423270572552137,0.22170265045426782,0.7754400033136177,0.15974977086524,2
Greece,2017,Europa,18582.0893411633,0.285406259345564,1.12125452031427,81.2878048780488,-0.197783224759792,0.21372557935016007,0.7872399538842582,0.231212226024939,2
Greece,2018,Europa,19756.9904562547,-0.165244042297104,0.625621413453588,81.7878048780488,-0.202880238259165,0.21618638870715245,0.7905800138303952,0.220496953517559,2
Greece,2019,Europa,19144.2843875557,0.224149497893734,0.25300752203812,81.6390243902439,-0.105339392724138,0.218804836823521,0.7938800449411291,0.311210821229905,2
Greece,2020,Europa,17658.9473011189,-0.860859160367283,-1.24798355581408,81.2878048780488,-0.214592106571664,0.22181418333372435,0.7971499819742753,0.196455024141376,2
Greece,2021,Europa,20192.5963039061,1.29219914889998,1.22382501019855,80.1829268292683,-0.537756534706951,0.22508140748134073,0.8003799563978607,-0.133384917339046,2
India,2017,Asia,1957.96981368095,3.96925793352338,3.32817337461301,70.467,1.15562449067646,0.06040795891477072,0.33599999964554605,2.407475136258,4
India,2018,Asia,1974.37773014516,3.88424027196663,3.93882646691634,70.71,1.08752772157855,0.06254069411283072,0.3402999999767714,2.35916997461045,4
India,2019,Asia,2050.16378973235,2.40551716106513,3.72950573539126,70.91,1.02531077187097,0.06472024952714424,0.3447200000896529,2.31580198477658,4
India,2020,Asia,1913.21972103493,4.74654893260742,6.62343677628532,70.15,0.95522085775158,0.06672320103678527,0.3492600000171729,2.26363455707273,4
India,2021,Asia,2238.12713873311,8.53852548128178,5.13140747176369,67.24,0.797216093898126,0.06802464594710725,0.3539300002848468,2.125468465055,4
Japan,2017,Asia,38834.0529341227,-0.0743495037290813,0.484199796126387,84.099756097561,-0.081874296046114,0.28463993636392276,0.9153499984248495,0.0033754407742315,2
Japan,2018,Asia,39751.1330982711,-0.0002375063876058,0.989094598021806,84.2109756097561,-0.126880068088791,0.2890165443060933,0.9161600018925803,-0.0384280781568938,2
Japan,2019,Asia,40415.9567649547,0.634803165696084,0.468776159383912,84.3563414634146,-0.140464977878172,0.29279813318803155,0.9169799973150758,-0.0510014914514158,2
Japan,2020,Asia,39986.9286287091,0.944197436071192,-0.0249958340276592,84.56,-0.294194617750067,0.2958317849533902,0.917819999841598,-0.202631222664941,2
Japan,2021,Asia,39827.1267678179,-0.227533440944995,-0.233352779398279,84.4456097560976,-0.459952415807642,0.2978708982468101,0.9186699996713122,-0.367384540062546,2
Kenya,2017,Africa,1675.98842952557,7.58193402820181,8.0057227913467,62.481,2.17570842690355,0.02625053942298151,0.26561999693675775,3.91117971395226,4
Kenya,2018,Africa,1845.78341285836,4.21502841459056,4.68981976129857,62.676,2.03273400450275,0.02697857583154059,0.27029999857466885,3.77930836146027,4
Kenya,2019,Africa,1970.0800629654,4.2752342393575,5.23585999425422,62.943,1.97845694844255,0.027578076777010272,0.27506999310127583,3.72777071252016,4
Kenya,2020,Africa,1936.25075166045,4.94885283291357,5.40481467184518,62.675,2.00970011079671,0.02803078072503673,0.27994999786480074,3.76824236257626,4
Kenya,2021,Africa,2069.66113651418,4.3307475585662,6.11090916378165,61.427,1.94276128252757,0.02843770473067249,0.2849300076025909,3.70601674052537,4
Mexico,2017,América del Norte,9434.37817948243,6.71270642990439,6.04145724018992,74.138,1.08042073770937,0.0742472003534896,0.798669998478825,1.44418554060996,1
Mexico,2018,América del Norte,9857.00748742213,4.94641112250018,4.89935015356549,74.015,0.951668643927897,0.07668200895704715,0.8015599965878007,1.31286687916841,1
Mexico,2019,América del Norte,10145.1526279593,4.12380780868217,3.6359614212705,74.202,0.860265089734684,0.07881907092991917,0.804440003350993,1.21892136003758,1
Mexico,2020,América del Norte,8654.99732516958,4.16727410061226,3.39683415569999,70.133,0.727243815691995,0.08021236667141753,0.8073099985109323,1.08337822735758,1
Mexico,2021,América del Norte,10045.676371041,5.16409565543347,5.68920847683764,70.213,0.559420832085433,0.08133638590094112,0.8101600031405198,0.911823977262318,1
